node1,node2
ENSMUSG00000027374,alpha-Linolenic acid
ENSMUSG00000042626,"Stigmast-5-ene, 3beta-"
ENSMUSG00000055681,"1-Phenyl-1,2-ethanediol"
ENSMUSG00000054484,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-"
ENSMUSG00000054484,Octanoic acid
ENSMUSG00000032216,"2,4-Imidazolidinedione, 5,5-dimethyl-"
ENSMUSG00000032216,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-"
ENSMUSG00000032216,"3,5-Dimethylpyrazole"
ENSMUSG00000032216,"Benzimidazole, 5-trifluoromethyl-2-methyl-"
ENSMUSG00000032216,"Benzoic acid, pentadecyl ester"
ENSMUSG00000032216,Nitrosothymol
ENSMUSG00000034584,Trimidox
ENSMUSG00000044224,Adipoyl-L-carnitine
ENSMUSG00000030216,1-Deoxypentitol
ENSMUSG00000030216,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-"
ENSMUSG00000030216,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene"
ENSMUSG00000030216,"6,7,4'-Trihydroxyisoflavone"
ENSMUSG00000030216,"Benzoic acid, pentadecyl ester"
ENSMUSG00000030216,Cadaverine
ENSMUSG00000030216,D-(-)-Citramalic acid
ENSMUSG00000030216,Dinoseb 
ENSMUSG00000030216,DL-Glyceraldehyde
ENSMUSG00000030216,Isofucosterol
ENSMUSG00000030216,Methyl aminoacetate
ENSMUSG00000030216,"N,O-Bis(trimethylsilyl)carbamate"
ENSMUSG00000030216,Nonadecanoic acid
ENSMUSG00000030216,p-Toluic acid
ENSMUSG00000030216,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-"
ENSMUSG00000071072,"2-(2,5-Dimethoxy-phenyl)-propionaldehyde"
ENSMUSG00000021243,3-Methoxysalicylic acid
ENSMUSG00000021243,Cadaverine
ENSMUSG00000021243,"N,O-Bis(trimethylsilyl)carbamate"
ENSMUSG00000021243,p-Toluic acid
ENSMUSG00000026803,3'-(Trimethylsilyl)oxy-beta-naphthoflavone
ENSMUSG00000026803,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-"
ENSMUSG00000026803,Methylmalonic monoamide
ENSMUSG00000068284,Isopropyl palmitate
ENSMUSG00000068284,N-Isovaleroylglycine
ENSMUSG00000063894,Hydracrylic acid
ENSMUSG00000094002,"6,7,4'-Trihydroxyisoflavone"
ENSMUSG00000039253,Isofucosterol
ENSMUSG00000022781,Dinoseb 
ENSMUSG00000022781,Isopropyl palmitate
ENSMUSG00000022781,Methyl aminoacetate
ENSMUSG00000030060,"Ethanone, 1-(5-methoxy-2-methyl-3(1H)-indolyl)-"
ENSMUSG00000030060,Tartronic acid
ENSMUSG00000042426,Adipoyl-L-carnitine
ENSMUSG00000042426,N-Valerylglycine
ENSMUSG00000105382,1-Hydroxy-3-methoxy-6-methylanthraquinone
ENSMUSG00000024941,Triethanolamine
ENSMUSG00000049295,"N,N-Dimethyl-2-cyclohexyloxyethylamine"
ENSMUSG00000049295,Phenoxyacetic acid
ENSMUSG00000070348,beta-Lyxopyranose
ENSMUSG00000046711,(CH3)2C=NC2H558
ENSMUSG00000034647,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate"
ENSMUSG00000022246,"Morpholine, 4-[2,3,4,6-tetrakis-O-(trimethylsilyl)-alpha-d-mannopyranosyl]-"
ENSMUSG00000058756,"Benzene, 1-acetoxy-2,6-dimethoxy-4-(2-propenyl)-"
ENSMUSG00000028655,"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-"
ENSMUSG00000005514,1-Hydroxy-3-methoxy-6-methylanthraquinone
ENSMUSG00000005514,"Glycine, N-(1-oxobutyl)-"
ENSMUSG00000005514,Uracil
ENSMUSG00000015461,12-Oxooctadecanoate
ENSMUSG00000015461,Nitrosothymol
ENSMUSG00000029198,Hydantoic acid
ENSMUSG00000024151,"D-(+)-Ribono-1,4-lactone (R,S,R)-"
ENSMUSG00000024151,"Dodecane, 4,6-dimethyl-"
ENSMUSG00000030591,"N,N-Dimethyl-2-cyclohexyloxyethylamine"
ENSMUSG00000025474,Dihydrouracil
ENSMUSG00000025474,Hydracrylic acid
ENSMUSG00000025474,L-Asparagine
ENSMUSG00000005580,"Cholest-7-en-3-ol, (3beta,5alpha)-"
ENSMUSG00000030663,D-Mannose
ENSMUSG00000035941,10-Heptadecenoic acid
ENSMUSG00000035941,Trimidox
ENSMUSG00000058420,Galactopyranose
ENSMUSG00000019907,Hydroquinidine
ENSMUSG00000025410,1-Deoxypentitol
ENSMUSG00000025410,"Benzoic acid, pentadecyl ester"
ENSMUSG00000025410,beta-Lyxopyranose
ENSMUSG00000061718,"N,N-Dimethyl-2-cyclohexyloxyethylamine"
ENSMUSG00000008690,Dodecylcyclohexane
ENSMUSG00000008690,"N,N-Diethyl-2-aminoethanol"
ENSMUSG00000008690,Neostigmine 
