node,direction,puc_value
Dehydronorketamine,-1,0.0
N-Isovaleroylglycine,-1,0.0
Arsenous acid,1,0.0
"1,5-Anhydroglucitol",1,0.0
Glyceric acid,-1,0.0
Ethanolamine,-1,0.0
3-Nonen-1-ol,1,0.0
Aceturic acid,-1,0.0
2-Hydroxybutyric acid,1,0.14285714285714285
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",-1,0.0
cis-4-Trimethylsilyloxy-cyclohexyl(trimethylsilyl)carboxylate,-1,0.0
4-(Methoxycarbonyl)phenol,1,0.0
"Benzene, 1-acetoxy-2,6-dimethoxy-4-(2-propenyl)-",1,0.0
"Tacrine, N-trimethylsilyl-",-1,0.0
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl ",1,0.0
"Ethanone, 1-(5-methoxy-2-methyl-3(1H)-indolyl)-",-1,0.0
"Benzoic acid, methyl ester",1,0.0
Adipoyl-L-carnitine,-1,0.0
10-Heptadecenoic acid,-1,0.0
Methyl-3-methoxy-5-methyl benzoate,-1,0.0
Latanoprost lactone diol,1,0.0
D-Fructose,-1,0.0
Levulinic acid,-1,0.0
"Thiazolo[4,5-f]quinoline, 2,9-dimethyl-",1,0.0
5-Hydroxyquinoline,-1,0.0
2-Hydroxy-3-methylbutyric acid,-1,0.0
Cyclobutanol,-1,0.0
Uracil,-1,0.0
cyclobutanecarboxylic acid,-1,0.0
Galactopyranose,1,0.0
"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline",-1,0.0
Oxalic acid,1,0.0
"Cholest-7-en-3-ol, (3beta,5alpha)-",1,0.0
"Benzenemethanamine, 2,3-dimethoxy-",1,0.0
Cyclo-(l-leucyl-l-phenylalanyl) ,1,0.0
"Glycine, N-(1-oxobutyl)-",-1,0.0
Erythritol,-1,0.0
Malic acid,1,0.0
4-Hydroxybenzoic acid,-1,0.0
"Benzimidazole, 5-trifluoromethyl-2-methyl-",-1,0.0
"D-(+)-Talofuranose, pentakis",1,0.0
Niclosamide,-1,0.0
"Dodecane, 4,6-dimethyl-",-1,0.0
"2-Allyl-1,4-dimethoxybenzene",-1,0.0
Xylazine,-1,0.0
"N-isobutyl-2-(trimethylsilyloxy]-4,5-dihydro-1H-imidazole-1-carboxamide",-1,0.0
1-Deoxypentitol,-1,0.18181818181818182
"3-Hydroxy-2,3-dihydromaltol",-1,0.0
2-Methylglutaconic acid,-1,0.0
Glycine,-1,0.0
Acetoacetic acid,-1,0.0
Trisaminol,1,0.0
"2-Propenamide, 3-phenyl-N-2-propenyl-",-1,0.0
"Octane, 1-propoxy-",1,0.0
Tributyl acetylcitrate,1,0.0
Methylmalonic monoamide,-1,0.0
Azatadine,-1,0.0
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",1,0.0
Phenoxyacetic acid,-1,0.0
Ser-Leu,1,0.0
Hydantoic acid,-1,0.0
"1,3,5-Benzetriol",-1,0.2
Triethanolamine,-1,0.1111111111111111
DL-Glyceraldehyde,-1,0.0
2-Aminobutanoic acid,1,0.0
"6,7,4'-Trihydroxyisoflavone",-1,0.0
1-Hydroxy-3-methoxy-6-methylanthraquinone,1,0.16666666666666666
Trimidox,1,0.0
Atrazine desethyl,-1,0.0
"2,5-di-tert-Butyl-1,4-benzoquinone",1,0.0
Sertraline carbamoyl glucuronide,-1,0.0
12-Oxooctadecanoate,-1,0.0
"2,5-Dimethoxymandelic acid",1,0.0
Stearic acid,-1,0.0
9-Octadecenamide,-1,0.0
Pimelic acid,-1,0.125
"Inosose-2, 1,3,4,5,6-pentakis-",-1,0.0
Suberic acid,-1,0.0
4-Hydroxyphenyllactic acid,-1,0.0
Phosalone,1,0.0
2-Isopropyl-5-methyl-1-heptanol ,-1,0.0
Methyl aminoacetate,-1,0.0
Octocrylene,-1,0.0
"1-Decene, 8-methyl-",-1,0.0
Indole-5-carboxylic acid,-1,0.2
"3-Buten-2-one, 4-(4-methoxyphenyl)-",1,0.0
Phenylalanine,-1,0.0
"2,3-Butanediol",-1,0.0
2-Methyl-4-pentenoic acid,-1,0.0
"1-Octanol, 2-butyl-",1,0.0
Carfentrazone-ethyl,1,0.0
"L-Lysine, ethyl ester ",-1,0.0
Arachidonic acid,-1,0.0
beta-Lyxopyranose,-1,0.09090909090909091
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene",-1,0.0
L-Tryptophan,-1,0.0
1-(3-Methylphenyl)piperazine,-1,0.0
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",-1,0.0
Glucopyranose,-1,0.0
Hexanoic acid,-1,0.0
Dinoseb ,-1,0.0
Dihydrouracil,-1,0.16666666666666666
"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",-1,0.14285714285714285
3-Methoxysalicylic acid,1,0.16666666666666666
Ribitol,-1,0.0
"Pentenoic acid, 4-[(trimethylsilyl)oxy]-",-1,0.0
1-Aminocyclopropanecarboxylic acid,-1,0.0
"Acetic acid, bis[(trimethylsilyl)oxyl]-",1,0.0
"Glycine, N-(N-DL-leucylglycyl)-",-1,0.0
"Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-",-1,0.0
"alpha-L-Galactopyranoside, methyl 6-deoxy-, (R,R,R,S,S)-",-1,0.0
"Propiophenone, 3',4'-dimethoxy-",1,0.0
"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine",-1,0.0
"Erythrono-1,4-lactone, (Z)-",-1,0.2
Pipecolic acid,-1,0.0
L-Isoleucine,-1,0.0
2-Aminoadipic acid,-1,0.0
Hydroquinidine,-1,0.0
"1-Phenyl-1,2-ethanediol",-1,0.0
2-Ketoisocaproic acid,1,0.0
Propylamine,-1,0.0
"Ethanone, 1-(2,5-dimethoxyphenyl)-",-1,0.0
Nitrosothymol,-1,0.08333333333333333
"2-Heptanone, 4,6-dimethyl-",-1,0.0
Isofucosterol,-1,0.08333333333333333
L-Asparagine,-1,0.0
Benzophenone,-1,0.0
"Benzoic acid, pentadecyl ester",-1,0.0
"L-Tryptophan, N-acetyl-1",-1,0.0
Hydracrylic acid,-1,0.16666666666666666
"Propanoic acid, 2-methyl-",1,0.0
"Propanetriol, 2-methyl-",-1,0.0
"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-",-1,0.0
Allylescaline ,-1,0.0
Benzyl alcohol,1,0.0
2-Amino-4-methylphenol,-1,0.0
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",1,0.0
Xylitol,1,0.0
Guanabenz,-1,0.0
"Furan, 2-pentyl-",-1,0.0
"Azetidine, 1-acetyl-2-methyl-",-1,0.0
"D-(-)-Fructofuranose, pentakis",1,0.0
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",-1,0.0
"Aziridine, 1-(2-buten-2-yl)-",-1,0.0
2-Heptenoic acid,-1,0.0
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",-1,0.0
"Benzeneethanamine, N-[(pentafluorophenyl)methylene]-4-[(trimethylsilyl)oxy]-",1,0.0
9-Hexadecenoic acid,1,0.0
L-5-Oxoproline,-1,0.2
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",-1,0.0
"2,3,4-Trihydroxybutyric acid tetrakis",-1,0.0
"Morpholine, 4-[2,3,4,6-tetrakis-O-(trimethylsilyl)-alpha-d-mannopyranosyl]-",1,0.0
Tartronic acid,-1,0.0
Myristic acid,-1,0.0
3'-(Trimethylsilyl)oxy-beta-naphthoflavone,1,0.2
"D-Isoleucine, N-acetyl-",-1,0.0
"2,2-Diallylpyrrolidine",-1,0.0
Neostigmine ,-1,0.0
4-Hydroxybenzeneacetic acid,-1,0.0
Hydroquinone,1,0.0
"1,2-Benzenedicarboxylic acid",1,0.0
D-(-)-Citramalic acid,-1,0.0
Butylated Hydroxytoluene,-1,0.0
p-Toluic acid,-1,0.09090909090909091
Indole-3-lactic acid,-1,0.0
Octan-2-yl palmitate,1,0.0
n-Pentadecanol,1,0.0
"N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine",-1,0.0
