Gene,Metabolite,Sign
ENSMUSG00000027374-P,1-Deoxypentitol,-1.0
ENSMUSG00000027374-P,alpha-Linolenic acid,-1.0
ENSMUSG00000027374-P,Nitrosothymol,-1.0
ENSMUSG00000042626-P,"Stigmast-5-ene, 3beta-",-1.0
ENSMUSG00000055681-P,"1-Phenyl-1,2-ethanediol",-1.0
ENSMUSG00000055681-P,L-5-Oxoproline,1.0
ENSMUSG00000054484-P,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",1.0
ENSMUSG00000054484-P,Heptanoic acid,1.0
ENSMUSG00000054484-P,Octanoic acid,1.0
ENSMUSG00000032216-P,"2,4-Imidazolidinedione, 5,5-dimethyl-",1.0
ENSMUSG00000032216-P,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",1.0
ENSMUSG00000032216-P,"3,5-Dimethylpyrazole",1.0
ENSMUSG00000032216-P,"Benzimidazole, 5-trifluoromethyl-2-methyl-",1.0
ENSMUSG00000032216-P,"Benzoic acid, pentadecyl ester",1.0
ENSMUSG00000032216-P,Nitrosothymol,1.0
ENSMUSG00000034584-P,Trimidox,-1.0
ENSMUSG00000044224-P,Adipoyl-L-carnitine,1.0
ENSMUSG00000030216-P,1-Deoxypentitol,1.0
ENSMUSG00000030216-P,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,1.0
ENSMUSG00000030216-P,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",1.0
ENSMUSG00000030216-P,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",1.0
ENSMUSG00000030216-P,"6,7,4'-Trihydroxyisoflavone",1.0
ENSMUSG00000030216-P,Alloxanic acid,1.0
ENSMUSG00000030216-P,"Benzoic acid, pentadecyl ester",1.0
ENSMUSG00000030216-P,Cadaverine,1.0
ENSMUSG00000030216-P,D-(-)-Citramalic acid,1.0
ENSMUSG00000030216-P,Dinoseb ,1.0
ENSMUSG00000030216-P,DL-Glyceraldehyde,1.0
ENSMUSG00000030216-P,Isofucosterol,1.0
ENSMUSG00000030216-P,Methyl aminoacetate,1.0
ENSMUSG00000030216-P,"N,O-Bis(trimethylsilyl)carbamate",1.0
ENSMUSG00000030216-P,Nonadecanoic acid,1.0
ENSMUSG00000030216-P,p-Toluic acid,1.0
ENSMUSG00000030216-P,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",1.0
ENSMUSG00000071072-P,"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",-1.0
ENSMUSG00000021243-P,3-Methoxysalicylic acid,1.0
ENSMUSG00000021243-P,Cadaverine,-1.0
ENSMUSG00000021243-P,"N,O-Bis(trimethylsilyl)carbamate",-1.0
ENSMUSG00000021243-P,p-Toluic acid,-1.0
ENSMUSG00000016495-P,2-Oxooctanoic acid,-1.0
ENSMUSG00000026803-P,3'-(Trimethylsilyl)oxy-beta-naphthoflavone,-1.0
ENSMUSG00000026803-P,"Benzene, 4-ethenyl-1,2-dimethoxy-",-1.0
ENSMUSG00000026803-P,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",1.0
ENSMUSG00000026803-P,Methylmalonic monoamide,1.0
ENSMUSG00000068284-P,Isopropyl palmitate,1.0
ENSMUSG00000068284-P,N-Isovaleroylglycine,1.0
ENSMUSG00000063894-P,3-Aminobenzoic acid,1.0
ENSMUSG00000063894-P,Hydracrylic acid,1.0
ENSMUSG00000094002-P,"6,7,4'-Trihydroxyisoflavone",-1.0
ENSMUSG00000039253-P,Isofucosterol,1.0
ENSMUSG00000022781-P,Dinoseb ,1.0
ENSMUSG00000022781-P,Isopropyl palmitate,1.0
ENSMUSG00000022781-P,Methyl aminoacetate,1.0
ENSMUSG00000030060-P,"1H-Pyrazole, 3,4-bis(trimethylsilyl)-",-1.0
ENSMUSG00000030060-P,"Dodecanoic acid, 1-methylethyl ester",-1.0
ENSMUSG00000030060-P,"Ethanone, 1-(5-methoxy-2-methyl-3(1H)-indolyl)-",-1.0
ENSMUSG00000030060-P,Tartronic acid,-1.0
ENSMUSG00000042426-P,Adipoyl-L-carnitine,-1.0
ENSMUSG00000042426-P,N-Valerylglycine,-1.0
ENSMUSG00000105382-P,1-Hydroxy-3-methoxy-6-methylanthraquinone,-1.0
ENSMUSG00000024941-P,Triethanolamine,-1.0
ENSMUSG00000049295-P,Ethyl cis-2-trimethylsilyl-cyclopropane-1-carboxylate,-1.0
ENSMUSG00000049295-P,"N,N-Dimethyl-2-cyclohexyloxyethylamine",-1.0
ENSMUSG00000049295-P,Phenoxyacetic acid,-1.0
ENSMUSG00000049097-P,Bis(trimethylsilyl)histidine,-1.0
ENSMUSG00000070348-P,beta-Lyxopyranose,1.0
ENSMUSG00000046711-P,(CH3)2C=NC2H558,1.0
ENSMUSG00000046711-P,"1-Propanamine, N,N-diethyl- ",1.0
ENSMUSG00000046711-P,Ethyl cis-2-trimethylsilyl-cyclopropane-1-carboxylate,1.0
ENSMUSG00000046711-P,n-Butylamine,1.0
ENSMUSG00000034647-P,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",1.0
ENSMUSG00000026273-P,"1-Propanamine, N,N-diethyl- ",-1.0
ENSMUSG00000022246-P,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",-1.0
ENSMUSG00000022246-P,"Morpholine, 4-[2,3,4,6-tetrakis-O-(trimethylsilyl)-alpha-d-mannopyranosyl]-",-1.0
ENSMUSG00000020308-P,D-Mannose,1.0
ENSMUSG00000061533-P,"2,5-Dimethyl-1-aza-bicyclo[2.2.1]heptane",1.0
ENSMUSG00000058756-P,"Benzene, 1-acetoxy-2,6-dimethoxy-4-(2-propenyl)-",1.0
ENSMUSG00000033948-P,Hexanoylglycine,1.0
ENSMUSG00000028655-P,"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-",1.0
ENSMUSG00000005514-P,1-Hydroxy-3-methoxy-6-methylanthraquinone,-1.0
ENSMUSG00000005514-P,"Dodecanamide, N-(2-hydroxyethyl)-",-1.0
ENSMUSG00000005514-P,"Glycine, N-(1-oxobutyl)-",1.0
ENSMUSG00000005514-P,Uracil,1.0
ENSMUSG00000015461-P,12-Oxooctadecanoate,-1.0
ENSMUSG00000015461-P,"Arabinofuranose, 1,2,3,5-tetrakis-O-",-1.0
ENSMUSG00000015461-P,Nitrosothymol,-1.0
ENSMUSG00000031511-P,2-Oxooctanoic acid,-1.0
ENSMUSG00000031511-P,Urea,-1.0
ENSMUSG00000029198-P,Campesterol,1.0
ENSMUSG00000029198-P,Hydantoic acid,-1.0
ENSMUSG00000024151-P,"D-(+)-Ribono-1,4-lactone (R,S,R)-",-1.0
ENSMUSG00000024151-P,"Dodecane, 4,6-dimethyl-",-1.0
ENSMUSG00000030591-P,"N,N-Dimethyl-2-cyclohexyloxyethylamine",-1.0
ENSMUSG00000052751-P,Benzenepropanoic acid,1.0
ENSMUSG00000052751-P,"cis-4,5-Dihydroxy-o-dithiane, 2O-",-1.0
ENSMUSG00000052751-P,phenoxyethanol,-1.0
ENSMUSG00000025474-P,"15-Oxo-11Z,13E-eicosadienoic acid",1.0
ENSMUSG00000025474-P,Dihydrouracil,1.0
ENSMUSG00000025474-P,Hydracrylic acid,1.0
ENSMUSG00000025474-P,L-Asparagine,1.0
ENSMUSG00000005580-P,"Cholest-7-en-3-ol, (3beta,5alpha)-",1.0
ENSMUSG00000030663-P,D-Mannose,1.0
ENSMUSG00000035941-P,10-Heptadecenoic acid,1.0
ENSMUSG00000035941-P,Trimidox,-1.0
ENSMUSG00000036501-P,N-Acetyltyrosine,1.0
ENSMUSG00000035934-P,"2,5-Dimethyl-1-aza-bicyclo[2.2.1]heptane",-1.0
ENSMUSG00000035934-P,4-Methylvaleric acid,-1.0
ENSMUSG00000035934-P,"Carbonic acid, eicosyl vinyl ester ",-1.0
ENSMUSG00000058420-P,Galactopyranose,1.0
ENSMUSG00000019907-P,Hydroquinidine,1.0
ENSMUSG00000025410-P,1-Deoxypentitol,-1.0
ENSMUSG00000025410-P,"Benzoic acid, pentadecyl ester",-1.0
ENSMUSG00000025410-P,beta-Lyxopyranose,-1.0
ENSMUSG00000061718-P,"N,N-Dimethyl-2-cyclohexyloxyethylamine",-1.0
ENSMUSG00000008690-P,Dodecylcyclohexane,-1.0
ENSMUSG00000008690-P,"N,N-Diethyl-2-aminoethanol",-1.0
ENSMUSG00000008690-P,Neostigmine ,-1.0
ENSMUSG00000008690-P,Octan-2-yl palmitate,1.0
ENSMUSG00000004895-P,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,1.0
ENSMUSG00000028273-P,"Benzoic acid, pentadecyl ester",1.0
ENSMUSG00000028273-P,Dinoseb ,1.0
ENSMUSG00000028273-P,Levulinic acid,1.0
ENSMUSG00000028273-P,Methylmalonic monoamide,1.0
ENSMUSG00000026520-P,"2,4-Imidazolidinedione, 5,5-dimethyl-",-1.0
ENSMUSG00000026520-P,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",-1.0
ENSMUSG00000083899-P,4-Methylvaleric acid,-1.0
ENSMUSG00000030879-P,Nitrosothymol,-1.0
ENSMUSG00000021585-P,2-Amino-4-methylphenol,1.0
ENSMUSG00000021585-P,2-Oxooctanoic acid,-1.0
ENSMUSG00000021585-P,Urea,-1.0
ENSMUSG00000026623-P,1-Hydroxy-3-methoxy-6-methylanthraquinone,-1.0
ENSMUSG00000026623-P,10-Heptadecenoic acid,1.0
ENSMUSG00000026623-P,2-Amino-4-methylphenol,1.0
