Gene,Metabolite,Sign
ENSMUSG00000027374,1-Deoxypentitol,-1.0
ENSMUSG00000027374,alpha-Linolenic acid,-1.0
ENSMUSG00000027374,Nitrosothymol,-1.0
ENSMUSG00000042626,"Stigmast-5-ene, 3beta-",-1.0
ENSMUSG00000055681,"1-Phenyl-1,2-ethanediol",-1.0
ENSMUSG00000055681,L-5-Oxoproline,1.0
ENSMUSG00000054484,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",1.0
ENSMUSG00000054484,Heptanoic acid,1.0
ENSMUSG00000054484,Octanoic acid,1.0
ENSMUSG00000032216,"2,4-Imidazolidinedione, 5,5-dimethyl-",1.0
ENSMUSG00000032216,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",1.0
ENSMUSG00000032216,"3,5-Dimethylpyrazole",1.0
ENSMUSG00000032216,"Benzimidazole, 5-trifluoromethyl-2-methyl-",1.0
ENSMUSG00000032216,"Benzoic acid, pentadecyl ester",1.0
ENSMUSG00000032216,Nitrosothymol,1.0
ENSMUSG00000034584,Trimidox,-1.0
ENSMUSG00000044224,Adipoyl-L-carnitine,1.0
ENSMUSG00000030216,1-Deoxypentitol,1.0
ENSMUSG00000030216,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,1.0
ENSMUSG00000030216,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",1.0
ENSMUSG00000030216,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",1.0
ENSMUSG00000030216,"6,7,4'-Trihydroxyisoflavone",1.0
ENSMUSG00000030216,Alloxanic acid,1.0
ENSMUSG00000030216,"Benzoic acid, pentadecyl ester",1.0
ENSMUSG00000030216,Cadaverine,1.0
ENSMUSG00000030216,D-(-)-Citramalic acid,1.0
ENSMUSG00000030216,Dinoseb ,1.0
ENSMUSG00000030216,DL-Glyceraldehyde,1.0
ENSMUSG00000030216,Isofucosterol,1.0
ENSMUSG00000030216,Methyl aminoacetate,1.0
ENSMUSG00000030216,"N,O-Bis(trimethylsilyl)carbamate",1.0
ENSMUSG00000030216,Nonadecanoic acid,1.0
ENSMUSG00000030216,p-Toluic acid,1.0
ENSMUSG00000030216,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",1.0
