node1,node2
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ","1,2-Benzenedicarboxylic acid"
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",4-Hydroxyphenyllactic acid
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ","6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol "
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",Ethanolamine
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",N-Valerylglycine
"1,2-Benzenedicarboxylic acid","Acetic acid, bis[(trimethylsilyl)oxyl]-"
"1,2-Benzenedicarboxylic acid","Benzenemethanamine, 2,3-dimethoxy-"
"1,2-Benzenedicarboxylic acid",Benzyl alcohol
"1,2-Benzenedicarboxylic acid",Boric acid
"1,2-Benzenedicarboxylic acid",Decanoic acid
"1,2-Benzenedicarboxylic acid",Lactic Acid
"2,5-di-tert-Butyl-1,4-benzoquinone",3-Amino-5-morpholinomethyl-2-oxazolidinone
"2,5-di-tert-Butyl-1,4-benzoquinone",Niacin
"2,5-di-tert-Butyl-1,4-benzoquinone",Palmitic Acid
3-Amino-5-morpholinomethyl-2-oxazolidinone,1-(4-Hydroxybenzylidene)acetone
3-Amino-5-morpholinomethyl-2-oxazolidinone,"1-Butanamine, N,N-diethyl-"
3-Amino-5-morpholinomethyl-2-oxazolidinone,1-Octanol
3-Amino-5-morpholinomethyl-2-oxazolidinone,"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-"
3-Amino-5-morpholinomethyl-2-oxazolidinone,12-Oxooctadecanoate
3-Amino-5-morpholinomethyl-2-oxazolidinone,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate"
3-Amino-5-morpholinomethyl-2-oxazolidinone,2-Ethyl-3-hydroxypropionic acid
3-Amino-5-morpholinomethyl-2-oxazolidinone,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-"
3-Amino-5-morpholinomethyl-2-oxazolidinone,3-Hexenedinitrile
3-Amino-5-morpholinomethyl-2-oxazolidinone,3-Hydroxyisovaleric acid
