node,direction,puc_value
Norketamine,1,0.0
N-Acetyl glucosamine methoxime,-1,0.0
Deoxyglucose,-1,0.0
L-(+)-Lactic acid,-1,0.0
"2',2,3,6'-Tetramethoxychalcone",1,0.16666666666666666
2-Aminobutanoic acid,-1,0.0
beta-D-(-)-Ribopyranose,-1,0.125
Uracil,-1,0.0
Ethyl alpha-D-glucopyranoside,-1,0.0
Isonicotinic Acid,1,0.0
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",-1,0.0
L-Valyl-L-leucine,1,0.0
1-Tetracosene,-1,0.0
DL-Phenylalanine,-1,0.0
Hydracrylic acid,-1,0.0
L-Norvaline,-1,0.0
Vanillin,-1,0.125
beta-Arabinopyranose,-1,0.0
Cholesterol,-1,0.0
Pyridoxic acid,-1,0.0
"2-Furanacetaldehyde, tetrahydro-alpha",1,0.0
"Hexadecanoic acid, tetradecyl ester",-1,0.0
D-Allofuranose,-1,0.0
Dihydrouracil,-1,0.0
Arabinose,1,0.0
2-Ethylhexanoic acid,-1,0.0
L-Aspartic acid,-1,0.0
"2,5-Dimethoxybenzhydrazide",-1,0.0
Azelaic acid,1,0.0
L-(-)-Sorbofuranose,-1,0.0
Pipecolic acid,-1,0.2
3-Undecene,-1,0.2
L-Glutamine,-1,0.0
D-Ribose,-1,0.0
"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-posphate",-1,0.0
Deoxycholic Acid,-1,0.0
Hydroquinone,-1,0.2
Aconitic acid,-1,0.0
Tetrahydrogeranyl formate,-1,0.0
D-(+)-Glucosamine,-1,0.0
Pyrrole-2-carboxylic acid,-1,0.16666666666666666
D-Mannopyranose,1,0.0
Monomethyl succinate,-1,0.125
"N-Acetyl-D-galactosamine, (R,R,R,R)",-1,0.0
3-Hydroxyisovaleric acid,-1,0.0
3-Deoxyhexitol,-1,0.0
N-(2-hydroxyethyl)-succinimide,-1,0.0
Idoxuridine ,-1,0.0
Phenylalanine,-1,0.0
D-(-)-Ribofuranose,1,0.0
Phloroglucinol,1,0.0
"Azetidine, 1-acetyl-2-methyl",-1,0.0
2-Piperidinone,-1,0.14285714285714285
Suberic acid,-1,0.125
"Gluconolactone (3R,4S,5R,6R)",-1,0.1111111111111111
2'-Desoxyuridine,-1,0.0
1-Dodecanol,-1,0.0
"Erythrono-1,4-lactone",-1,0.0
Cyclohexanol,1,0.0
Undecanoic acid,-1,0.0
L-Serine,-1,0.0
Salsoline,-1,0.0
"D-(+)-Ribono-1,4-lactone ",-1,0.0
9-Octadecenamide,-1,0.2
4-Methyl-5-thiazoleethanol,-1,0.09090909090909091
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one,-1,0.0
Pentanoic acid,-1,0.0
Thymidine,-1,0.0
Sebacic acid,-1,0.0
l-Leucyl-l-valine,1,0.16666666666666666
1-Hexacosene,-1,0.2
Syringaldehyde,-1,0.13333333333333333
Octadecyl octyl ether,-1,0.0
"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)",-1,0.0
Methylsuccinic acid,-1,0.0
D-(-)-Fructopyranose,-1,0.0
L-Leucine,-1,0.0
Cyclohexanemethanol,-1,0.16666666666666666
Butanedioic acid,-1,0.0
Deoxyribopyranose,1,0.0
L-Rhamnose,-1,0.2
Uridine,-1,0.0
Monolaurin,1,0.0
"Xylonic acid, delta-lactone",1,0.0
9H-Purin-6-ol,-1,0.0
"2,3,4-Trihydroxybutyric acid",-1,0.2
Dihydroxyacetone,1,0.0
"Arabinofuranose, 1,2,3,5-tetrakis",-1,0.0
"1-Propanamine, N,N-diethyl-",-1,0.0
"2-Allyl-1,4-dimethoxybenzene ",-1,0.14285714285714285
2-Ethylacetoacetate,-1,0.0
"Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate",-1,0.0
Lignoceric acid,-1,0.0
9-Octadecenoic acid,1,0.0
"D-Erythro-Pentitol, 2-deoxy-",1,0.0
"2,5-Di-tert-butyl-4-hydroxyphenol",-1,0.14285714285714285
Niacinamide,-1,0.0
Erythritol,1,0.0
Decanoic acid,-1,0.125
4-Hydroxybenzoic acid,-1,0.1111111111111111
"Inosose-2, myo",-1,0.0
13-Docosenamide,-1,0.0
"1,4-Butanediol",1,0.0
Cyclohexanecarboxylic acid,-1,0.0
1-Tetradecanol,-1,0.0
L-Proline,-1,0.0
Glyceric acid,1,0.0
"2-Butenoic acid, 2-hydroxy-",-1,0.16666666666666666
Thr-Leu,1,0.0
5-Methyluridine,-1,0.0
"2,5-Dimethoxyphenol",-1,0.0
"Pentitol, 3-desoxy",1,0.0
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",-1,0.1
8-Hydroxy-5-(hydroxymethyl)quinoline,-1,0.0
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,-1,0.14285714285714285
Hymexazole,-1,0.14285714285714285
Arabinitol,-1,0.0
Pyrogallol,-1,0.0
3-Buten-2-one,1,0.2
Serine,-1,0.0
4-Hydroxybenzaldehyde,-1,0.0
Ribonic acid,-1,0.0
beta-Alanine,-1,0.0625
N-Methyl-L-proline,1,0.0
Pentanedioic acid,-1,0.0
"Hexadecanoic acid, 4-hydroxybutyl ester",-1,0.0
Phloretic acid,-1,0.0
Pimelic acid,-1,0.16666666666666666
N-Acetyl-L-glutamic acid,-1,0.0
Myristic acid,-1,0.0
Xanthine,-1,0.0
Tricine,-1,0.0
L-Isoleucine,-1,0.0
"2,3-Butanediol",-1,0.18181818181818182
1-Octanol,1,0.0
"2-Pentenedioic acid, 2-hydroxy-",-1,0.0
3-O-methyl-beta-D-Glucopyranose,1,0.0
Cytosine,-1,0.0
"2,4-Di-tert-butylphenol",-1,0.0
12-Oxooctadecanoate,1,0.0
Methylmaleic acid,1,0.0
N-Acetylglucosamine,-1,0.0
Pentadecanoic acid,-1,0.2
L-Threonine,-1,0.0
3-Methyl-2-furoic acid,1,0.0
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",-1,0.0
6-Hydroxyhexanoic acid,-1,0.2
alpha-L-(-)-Fucopyranose,1,0.0
Benzoic Acid,-1,0.0
2'-Deoxyribolactone,-1,0.0
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",-1,0.0
3-Pyridylcarbinol,-1,0.0
"beta-D-Galactopyranoside, methyl-, acetate",1,0.0
Urea,-1,0.0
Menthol,-1,0.0
L-Valine,-1,0.0
Butyl caprylate,-1,0.0
2-Pyrrolidinone,-1,0.0
D-Fructose,-1,0.0
Campesterol,1,0.0
Citric acid,-1,0.0
Picolinic acid,-1,0.0
Decyl oleate,-1,0.0
Ketamine,-1,0.0
Butyl Succinate,-1,0.0
alpha-Tocopheryl acetate,1,0.0
"cis-4,5-Dihydroxy-o-dithiane",-1,0.11764705882352941
Niacin,-1,0.0
"Guanidine, N,N-dimethyl",-1,0.14285714285714285
5-Oxohexanoic Acid,1,0.0
1-Monopalmitin,1,0.0
Tyrosine,-1,0.0
D-(+)-Talofuranose,1,0.0
3-(3-Hydroxyphenyl)propanoic acid,-1,0.0
4-Pyridinol,-1,0.0
3-Aminobutanoic acid,1,0.0
1-Octadecanol,-1,0.16666666666666666
alpha-Linolenic acid,-1,0.0
2-Hydroxy-3-methylbutyric acid,-1,0.0
N-Methyl-alpha-aminoisobutyric acid,-1,0.0
Octanoic acid,1,0.2
5-Hydroxymethyl-2-furoic acid,-1,0.0
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",-1,0.0
3-Hexenedioic acid,-1,0.0
pyrazole,-1,0.0
1-Hexanol,1,0.0
Xylose,1,0.0
Itaconic acid,1,0.0
Palmitic Acid,-1,0.0
D-Psicofuranose,1,0.0
"3-Hydroxy-2,3-dihydromaltol",-1,0.0
D-(-)-Fructofuranose,-1,0.0
Supraene,1,0.0
"Propane, 2-methyl",-1,0.0
Phenol,-1,0.15789473684210525
Glycolic acid,-1,0.0
Xylazine,-1,0.0
D-Glucose,-1,0.0
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",-1,0.0
L-Glutamic acid,-1,0.0
L-5-Oxoproline,-1,0.0
Tripropylene glycol monomethyl ether,-1,0.0
Glycerol tricaprylate,-1,0.16666666666666666
trans-Coniferryl alchool,-1,0.0
Nonanoic acid,-1,0.0
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane",-1,0.0
"Propanoic acid, 2-oxo",-1,0.0
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol",-1,0.0
"Butanoic acid, 3,4-dihydroxy-",-1,0.0
Ethanamine,-1,0.0
2-Palmitoylglycerol,1,0.0
d-Erythrotetrofuranose,-1,0.0
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile",-1,0.0
"Acetamide, N-(2-butyl)-N-methyl-",-1,0.2
17-alpha-Hydroxypregnenolone,1,0.0
Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside,1,0.0
4-Hydroxybutanoic acid,-1,0.0
1-Methyl-4-hydroxy-1H-imidazol-2-amine,-1,0.0
Hexacosanoic acid,-1,0.0
4-Hydroxyphenyllactic acid,-1,0.0
Glycerol,-1,0.0
3-Hydroxybutyric acid,-1,0.0
3-Hydroxypicolinic acid,1,0.0
