Gene,Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR
ENSMUSG00000000127-P,ENSMUSG00000000127,1-Cyclopentylethanol,-0.028571429,0.9571545189504372,6,-1,0,3,-0.054056248,0.9083652825239956,7,-0.467991297,0.067531497,16,TRUE,-,0.287523021
ENSMUSG00000000127-P,ENSMUSG00000000127,"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane",-0.371428571,0.4684781341107871,6,-0.5,0.6666666666666667,3,-0.666885929,0.2188939813132316,5,-0.365236745,0.1991064576101411,14,TRUE,-,0.4276088290943132
ENSMUSG00000000127-P,ENSMUSG00000000127,"2,5-Dimethoxy-4-methylamphetamine",0.4413674147523747,0.3809392104771887,6,0.7999999999999999,0.2,4,0.1496962377130239,0.7487055969665106,7,0.081231523,0.7566162357761151,17,TRUE,+,0.8320560343260294
ENSMUSG00000000127-P,ENSMUSG00000000127,"3-Methoxyamphetamine, 4-Trimethylsilyloxy, N,N-bis(Trimethylsilyloxy)-",0.3768511731740915,0.4614828403508046,6,0.8660254037844387,0.3333333333333332,3,0.3368165348543039,0.4600767496721376,7,0.4907678394963256,0.053579445,16,TRUE,+,0.2661752731423046
ENSMUSG00000000127-P,ENSMUSG00000000127,"3-Methyl-2-butenoic acid, tridec-2-ynyl ester",-0.3,0.6238376647810728,5,-1,0,4,-0.057977104,0.9131317851623264,6,-0.105451338,0.7083853743390801,15,TRUE,-,0.7972269432411636
ENSMUSG00000000127-P,ENSMUSG00000000127,"3,4,5-Trihydroxypentanoic acid, tetrakis(trimethylsilyl)-",-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.2,0.8,4,-0.103030303,0.7769984634438898,10,TRUE,-,0.8460157437240485
ENSMUSG00000000127-P,ENSMUSG00000000127,"3,5-di-tert-Butyl-4-hydroxyacetophenone",-0.666885929,0.2188939813132316,5,-1,0,3,-0.5,0.3910022189557705,5,-0.528198574,0.063522867,13,TRUE,-,0.2819524575438907
ENSMUSG00000000127-P,ENSMUSG00000000127,"3,5-Dimethyl-1,4-diallylpyrazole",0.3999999999999999,0.5046315754686911,5,0.7999999999999999,0.2,4,0.1428571428571428,0.7599453002180929,7,0.2294117647058823,0.3927204908816197,16,TRUE,+,0.5785455105587086
ENSMUSG00000000127-P,ENSMUSG00000000127,9-Octadecenamide,0.6000000000000001,0.3999999999999999,4,1,0,3,0.1999999999999999,0.747060078,5,0.2797202797202798,0.37856867,12,TRUE,+,0.5694417703930754
ENSMUSG00000000127-P,ENSMUSG00000000127,"Aziridine, 1-(2-buten-2-yl)-",1,0,3,0.5,0.6666666666666667,3,0.6,0.2847569798652937,5,0.3181818181818182,0.3402976141819036,11,TRUE,+,0.5416034345035823
ENSMUSG00000000127-P,ENSMUSG00000000127,"Benzene, 1,1'-(1,2-cyclobutanediyl)bis-",-0.085714286,0.8717434402332361,6,-0.5,0.6666666666666667,3,-0.464285714,0.2939341076002517,7,-0.138235294,0.6096659407501825,16,TRUE,-,0.7312647030411176
ENSMUSG00000000127-P,ENSMUSG00000000127,Benzenepropanoic acid,-0.142857143,0.7871720116618075,6,-1,0,3,-0.450468731,0.3104293018513229,7,-0.47534965,0.06276327,16,TRUE,-,0.2803226765401003
ENSMUSG00000000127-P,ENSMUSG00000000127,"Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza-",0.6,0.2079999999999998,6,0.5,0.6666666666666667,3,0.3999999999999999,0.6,4,0.521978022,0.067291712,13,TRUE,+,0.287523021
ENSMUSG00000000127-P,ENSMUSG00000000127,Campesterol,-0.942857143,0.004804665,6,-0.8,0.2,4,-0.535714286,0.2152174556780127,7,-0.375,0.1380348439680485,17,TRUE,-,0.3708208899175275
ENSMUSG00000000127-P,ENSMUSG00000000127,"Cholest-7-en-3-ol, (3beta,5alpha)-",-0.257142857,0.6227871720116618,6,-0.4,0.6,4,-0.231908414,0.658373571,6,-0.092715257,0.732716402,16,TRUE,-,0.8142216165716858
ENSMUSG00000000127-P,ENSMUSG00000000127,Cholesterol,-0.371428571,0.4684781341107871,6,-0.4,0.6,4,-0.071428571,0.8790481931481541,7,-0.232843137,0.368459655,17,TRUE,-,0.5619188853384608
ENSMUSG00000000127-P,ENSMUSG00000000127,Cyclobutanol,-0.4,0.6,4,-0.4,0.6,4,-0.5,0.6666666666666667,3,-0.245454545,0.4669223669820163,11,TRUE,-,0.6321398757856764
ENSMUSG00000000127-P,ENSMUSG00000000127,"Cyclopentanone, 2,2,4-trimethyl-",0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.028571429,0.9571545189504372,6,0.027972028,0.9312343512018808,12,TRUE,+,0.9509652937535648
ENSMUSG00000000127-P,ENSMUSG00000000127,DL-Ornithine,-0.2,0.704,6,-0.2,0.8,4,-0.142857143,0.7871720116618075,6,-0.382352941,0.1438592495438904,16,TRUE,-,0.3764795600512804
ENSMUSG00000000127-P,ENSMUSG00000000127,Dopamine,-0.1,0.8728885715695383,5,-0.5,0.6666666666666667,3,-1,0,3,-0.827272727,0.001676974,11,TRUE,-,0.096579367
ENSMUSG00000000127-P,ENSMUSG00000000127,Hippuric acid,-0.542857143,0.2657026239067055,6,-0.2,0.8,4,-0.144149994,0.7578179356488596,7,-0.53832015,0.025796728,17,TRUE,-,0.2131738843253072
ENSMUSG00000000127-P,ENSMUSG00000000127,Hydroquinone,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.1538967528127731,0.8048288166080632,5,0.059225666,0.8626730467279877,11,TRUE,+,0.9045656348126632
ENSMUSG00000000127-P,ENSMUSG00000000127,"N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine",-0.2,0.8,4,-0.5,0.6666666666666667,3,-0.2,0.747060078,5,-0.384615385,0.2170202257599775,12,TRUE,-,0.4424633595779909
ENSMUSG00000000127-P,ENSMUSG00000000127,"N,O-Bis(trimethylsilyl)carbamate",-0.5,0.6666666666666667,3,-0.4,0.6,4,-0.4,0.5046315754686911,5,-0.202797203,0.5273023541661082,12,TRUE,-,0.6755082664917214
ENSMUSG00000000127-P,ENSMUSG00000000127,Oxalic acid,-0.724713795,0.1032428046237076,6,-0.8,0.2,4,-0.142857143,0.7599453002180929,7,-0.250153327,0.3328638902974723,17,TRUE,-,0.535934777
ENSMUSG00000000127-P,ENSMUSG00000000127,"Pentenoic acid, 4-[(trimethylsilyl)oxy]-",0.4285714285714286,0.3965014577259474,6,0.5,0.6666666666666667,3,0.5405624776173354,0.2102892534955029,7,0.6122150296134706,0.011709335,16,TRUE,+,0.1704539623164893
ENSMUSG00000000305-P,ENSMUSG00000000305,(pm)-Norketamine,-0.03380617,0.9493100625278256,6,-0.8,0.2,4,-0.14684462,0.75338789,7,-0.050063182,0.848673076,17,TRUE,-,0.8948790311778622
ENSMUSG00000000305-P,ENSMUSG00000000305,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",0.085714286,0.8717434402332361,6,0.6000000000000001,0.3999999999999999,4,0.3,0.6238376647810728,5,0.321715946,0.2422741221264185,15,TRUE,+,0.4653251049488042
ENSMUSG00000000305-P,ENSMUSG00000000305,1-Octanol,-0.028571429,0.9571545189504372,6,-0.8,0.2,4,-0.314285714,0.5440932944606414,6,-0.285504124,0.2837688286233547,16,TRUE,-,0.4983978905332666
ENSMUSG00000000305-P,ENSMUSG00000000305,"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",-0.085714286,0.8717434402332361,6,-0.948683298,0.051316702,4,-0.108112496,0.8175332656241182,7,-0.302639713,0.2377165663701483,17,TRUE,-,0.460487776
ENSMUSG00000000305-P,ENSMUSG00000000305,2-Amino-4-methylphenol,-0.4,0.6,4,-0.5,0.6666666666666667,3,-0.571428571,0.1802019889115274,7,-0.507692308,0.063839158,14,TRUE,-,0.2819524575438907
ENSMUSG00000000305-P,ENSMUSG00000000305,2-Ethyl-3-hydroxypropionic acid,-0.028571429,0.9571545189504372,6,-0.8,0.2,4,-0.327326835,0.4735969360680634,7,-0.290976114,0.2571818238602292,17,TRUE,-,0.478098395
