Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR,"('Gene', 'Metabolite')"
ENSMUSG00000000127,1-Cyclopentylethanol,-0.028571429,0.9571545189504372,6,-1,0,3,-0.054056248,0.9083652825239956,7,-0.467991297,0.067531497,16,TRUE,-,0.287523021,"('ENSMUSG00000000127', '1-Cyclopentylethanol')"
ENSMUSG00000000127,"3-Methyl-2-butenoic acid, tridec-2-ynyl ester",-0.3,0.6238376647810728,5,-1,0,4,-0.057977104,0.9131317851623264,6,-0.105451338,0.7083853743390801,15,TRUE,-,0.7972269432411636,"('ENSMUSG00000000127', '3-Methyl-2-butenoic acid, tridec-2-ynyl ester')"
ENSMUSG00000000127,"Benzene, 1,1'-(1,2-cyclobutanediyl)bis-",-0.085714286,0.8717434402332361,6,-0.5,0.6666666666666667,3,-0.464285714,0.2939341076002517,7,-0.138235294,0.6096659407501825,16,TRUE,-,0.7312647030411176,"('ENSMUSG00000000127', ""Benzene, 1,1'-(1,2-cyclobutanediyl)bis-"")"
ENSMUSG00000000127,Benzenepropanoic acid,-0.142857143,0.7871720116618075,6,-1,0,3,-0.450468731,0.3104293018513229,7,-0.47534965,0.06276327,16,TRUE,-,0.2803226765401003,"('ENSMUSG00000000127', 'Benzenepropanoic acid')"
ENSMUSG00000000305,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",0.085714286,0.8717434402332361,6,0.6000000000000001,0.3999999999999999,4,0.3,0.6238376647810728,5,0.321715946,0.2422741221264185,15,TRUE,+,0.4653251049488042,"('ENSMUSG00000000305', '1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ')"
ENSMUSG00000000305,"2,5-Dimethoxybenzhydrazide",-0.485714286,0.3287230320699709,6,-0.4,0.6,4,-0.035714286,0.9394082054712856,7,-0.474555577,0.054261611,17,TRUE,-,0.2673476721694816,"('ENSMUSG00000000305', '2,5-Dimethoxybenzhydrazide')"
ENSMUSG00000000305,4-Hydroxybenzaldehyde,-0.085714286,0.8717434402332361,6,-0.2,0.8,4,-0.450468731,0.3104293018513229,7,-0.188957055,0.4676364838185533,17,TRUE,-,0.6322906111023137,"('ENSMUSG00000000305', '4-Hydroxybenzaldehyde')"
ENSMUSG00000000305,"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-",-0.6,0.2079999999999998,6,-0.105409255,0.894590745,4,-0.396412484,0.37863471,7,-0.233885864,0.3662575122977607,17,TRUE,-,0.5609801530545825,"('ENSMUSG00000000305', 'D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-')"
ENSMUSG00000000305,Dimethyl fumarate,-0.028988552,0.9565293523898406,6,-0.5,0.6666666666666667,3,-0.071428571,0.8790481931481541,7,-0.042678452,0.8752951396111206,16,TRUE,-,0.9131768443200822,"('ENSMUSG00000000305', 'Dimethyl fumarate')"
ENSMUSG00000000305,"Glycine, N-(1-oxobutyl)-",0.4616902584383193,0.4337661561690278,5,0.7999999999999999,0.2,4,0.7142857142857144,0.071343561,7,0.094256259,0.728429093,16,TRUE,+,0.8112442170654812,"('ENSMUSG00000000305', 'Glycine, N-(1-oxobutyl)-')"
ENSMUSG00000000305,Hexanedioic acid,-0.2,0.704,6,-0.4,0.6,4,-0.057977104,0.9131317851623264,6,-0.195876289,0.4672026006102363,16,TRUE,-,0.6321398757856764,"('ENSMUSG00000000305', 'Hexanedioic acid')"
ENSMUSG00000000305,Hippuric acid,-0.428571429,0.3965014577259474,6,-0.8,0.2,4,-0.342356236,0.4522512215909057,7,-0.309202454,0.2271858684411126,17,TRUE,-,0.4521287022410996,"('ENSMUSG00000000305', 'Hippuric acid')"
ENSMUSG00000000305,L-Asparagine,-0.257142857,0.6227871720116618,6,-0.5,0.6666666666666667,3,-0.3,0.6238376647810728,5,-0.523652682,0.054626647,14,TRUE,-,0.2685327705116768,"('ENSMUSG00000000305', 'L-Asparagine')"
