Gene,Metabolite,Pooled r,Pooled p,Pooled FDR
ENSMUSG00000000127,1-Cyclopentylethanol,-0.467991297,0.067531497,0.287523021
ENSMUSG00000000127,"3-Methyl-2-butenoic acid, tridec-2-ynyl ester",-0.105451338,0.7083853743390801,0.7972269432411636
ENSMUSG00000000127,"Benzene, 1,1'-(1,2-cyclobutanediyl)bis-",-0.138235294,0.6096659407501825,0.7312647030411176
ENSMUSG00000000127,Benzenepropanoic acid,-0.47534965,0.06276327,0.2803226765401003
ENSMUSG00000000305,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",0.321715946,0.2422741221264185,0.4653251049488042
ENSMUSG00000000305,"2,5-Dimethoxybenzhydrazide",-0.474555577,0.054261611,0.2673476721694816
ENSMUSG00000000305,4-Hydroxybenzaldehyde,-0.188957055,0.4676364838185533,0.6322906111023137
ENSMUSG00000000305,"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-",-0.233885864,0.3662575122977607,0.5609801530545825
ENSMUSG00000000305,Dimethyl fumarate,-0.042678452,0.8752951396111206,0.9131768443200822
ENSMUSG00000000305,"Glycine, N-(1-oxobutyl)-",0.094256259,0.728429093,0.8112442170654812
ENSMUSG00000000305,Hexanedioic acid,-0.195876289,0.4672026006102363,0.6321398757856764
ENSMUSG00000000305,Hippuric acid,-0.309202454,0.2271858684411126,0.4521287022410996
ENSMUSG00000000305,L-Asparagine,-0.523652682,0.054626647,0.2685327705116768
ENSMUSG00000000305,"L-Tryptophan, N-acetyl-1",-0.388521076,0.1369674025967696,0.3707238425308561
ENSMUSG00000000305,Palmitic Acid,-0.353157638,0.1643810654046422,0.3954284788429447
ENSMUSG00000000305,"Pyrazine, 3,6-dimethyl-2,5-bis(trimethylsilyloxy)-",0.4965034965034965,0.1006026318322548,0.3292499349226388
ENSMUSG00000000305,"Spiro[cyclopenta[d]-1,3,2-dioxaborin-4(5H),1'-cyclopentane], 2-ethyl-6,7-dihydro-",0.4856513456068396,0.056508862,0.2711788210224509
ENSMUSG00000001014,(CH3)2C=NC2H558,0.3504751308402086,0.1678348656606413,0.3985096474452261
ENSMUSG00000001014,"1-Butanamine, N,N-diethyl-",0.4452623513536528,0.073279911,0.295515103
ENSMUSG00000001014,"1-Propanamine, N,N-diethyl- ",0.4538885399221943,0.067237477,0.287523021
ENSMUSG00000001014,2-Ethyl-3-hydroxypropionic acid,0.3572624081740521,0.1591894084115647,0.3909807163492145
ENSMUSG00000001014,2-Hydroxy-5-methoxybenzaldehyde,0.2261696894963692,0.3827271464630827,0.5731009195623125
ENSMUSG00000001014,2-Hydroxybutyric acid,-0.312782355,0.2762307179119804,0.4922973668063357
ENSMUSG00000001014,2-Pyrrolidinone,-0.115697079,0.6583545931838891,0.7645710702437767
ENSMUSG00000001014,"2,2-Diallylpyrrolidine",0.3179596808285686,0.3406536689320305,0.5421254598396186
ENSMUSG00000001014,"2',2,3,6'-Tetramethoxychalcone",0.3168599674124613,0.2498601016709944,0.4712915014071456
ENSMUSG00000001014,"3-Hydroxy-2,3-dihydromaltol",0.342592366,0.1939629690423489,0.4228951340615005
ENSMUSG00000001014,3-Hydroxyisovaleric acid,0.1980946391705527,0.4459685589251703,0.6169360450835786
ENSMUSG00000001014,3-Methylvaleric acid,0.1581138830084189,0.57356644,0.7068214419874118
ENSMUSG00000001014,"3,5-Dimethylpyrazole",0.213701543,0.4267812374046863,0.604129408
ENSMUSG00000001014,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",0.111745694,0.6693891100839787,0.7725679264493445
ENSMUSG00000001014,"Acetamide, N,N-diethyl-",0.4269681713702122,0.087395119,0.3146134362099188
ENSMUSG00000001014,Allylescaline ,0.2121929109319869,0.4135702897717587,0.594019048
ENSMUSG00000001014,"Benzoic acid, pentadecyl ester",0.041554489,0.8785563636371678,0.9158830127568484
ENSMUSG00000001014,Butanedioic acid,0.2250371752555417,0.3851780902235803,0.5741798424122874
ENSMUSG00000001014,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-",0.278435827,0.279182361,0.4943073641559375
ENSMUSG00000001014,D-Fructose,0.027714488,0.918848727,0.942870773
ENSMUSG00000001014,DL-Phenylalanine,0.142309018,0.5858579639913661,0.716098962
ENSMUSG00000001014,"Guanidine, N,N-dimethyl-",0.5795543546973596,0.014756788,0.1835428263770841
ENSMUSG00000001014,Neostigmine ,0.2947504504734448,0.2677695205531645,0.4867970020657814
ENSMUSG00000001014,Nonanal,0.1016492986500536,0.6978715083236252,0.7904470481842216
ENSMUSG00000001014,Pantolactone,0.4986938335160911,0.041584284,0.2459590917522822
ENSMUSG00000001014,Pentanoic acid,0.2287109219626206,0.3772587837753551,0.5690609118765506
ENSMUSG00000001014,Phloroglucinol,0.5180975298163413,0.047882372,0.2579093736319316
ENSMUSG00000001014,Trimethylsilyl oct-2-enoate ,-0.35001616,0.1838471868219383,0.4134137961902963
ENSMUSG00000001014,Uridine,0.2275799681962823,0.3796870806717233,0.570429852
ENSMUSG00000001054,"1,2-Benzenedicarboxylic acid",0.1896246325773155,0.4984807730286135,0.6551825186318364
ENSMUSG00000001054,2-Heptenoic acid,-0.587912088,0.034586058,0.2327385238855973
ENSMUSG00000001054,"2,2-Diallylpyrrolidine",0.2961283309258334,0.376591859,0.5682566882157319
ENSMUSG00000001054,"2,4-Decadienal",-0.365196078,0.1494723696516575,0.382558451
ENSMUSG00000001054,4-Hydroxybenzaldehyde,-0.06131209,0.8151713986062927,0.8715747467033976
ENSMUSG00000001054,"Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza-",-0.494505495,0.085823531,0.3120697813686276
ENSMUSG00000001054,beta-Hydroxypyruvic acid,-0.531273139,0.034199498,0.2318504206944824
ENSMUSG00000001054,Fenitrothion,0.1202454892886706,0.6457350047651047,0.7560561900506964
ENSMUSG00000001054,Indole-5-carboxylic acid,0.046153846,0.8755025376321142,0.9131768443200822
ENSMUSG00000001054,L-Glutamine,-0.42918463,0.085587962,0.3120697813686276
ENSMUSG00000001054,N-Isovaleroylglycine,-0.119749824,0.6707719356585296,0.7734295267398881
ENSMUSG00000001054,Niclosamide,-0.079705717,0.76106166,0.8347038761607194
ENSMUSG00000001054,phenoxyethanol,0.019607843,0.9404583435037518,0.9562489624859096
ENSMUSG00000001054,Picolinic acid,-0.105392157,0.6872658389566565,0.7838683032584435
ENSMUSG00000001054,Trimidox,-0.313186813,0.2974384220710292,0.5085134863642311
ENSMUSG00000001054,Trisaminol,-0.56372549,0.01843499,0.195235822
ENSMUSG00000001089,"1-Phenyl-1,2-ethanediol",-0.144874402,0.5790488444189974,0.7110287450732605
ENSMUSG00000001089,"2,4-Diamino-6,7-dimethylpteridine",-0.171568627,0.5102663098717943,0.6636569843402798
